,cant_carga,total_trips,demanda,latitude,longitude
295,90,2,180,-12.1302568378759,-77.0079444721341
296,80,2,160,-12.1402637575366,-76.9986660405993
297,0,0,0,-12.1399648239173,-76.9990707188845
298,0,0,0,-12.1392895998147,-76.9886345788836
299,80,3,240,-12.1386776355206,-76.9884394481778
300,0,0,0,-12.1361825635489,-76.9890831783414
301,40,2,80,-12.1359311539238,-76.9897966459394
302,50,5,250,-12.1365627914752,-76.9897590950131
303,50,2,100,-12.1368184616722,-76.9896015152335
304,0,0,0,-12.1360979955398,-76.9895150139928
305,0,0,0,-12.1287942339145,-76.9878429919481
306,0,0,0,-12.1322566784892,-76.9857545569539
307,70,3,210,-12.1311874326782,-76.9875667244196
308,20,2,40,-12.146917744551,-77.0223338530185
309,25,1,25,-12.1463185642028,-77.0219939668449
310,30,1,30,-12.1458148956412,-77.0213584509464
311,0,0,0,-12.1469915891179,-77.0206743200095
312,0,0,0,-12.1477501932645,-77.0215314534279
313,0,0,0,-12.1482862997913,-77.0202900097491
314,30,2,60,-12.1503868047261,-77.0204590727361
315,20,1,20,-12.1501630079114,-77.0205951948436
316,0,0,0,-12.1463436405341,-77.0215855166316
317,25,2,50,-12.1390650630476,-77.0246423305714
318,0,0,0,-12.1397059056886,-77.0243241891815
319,30,2,60,-12.1467256811787,-77.022282926568
320,0,0,0,-12.1548162116332,-77.0213094108442
321,0,0,0,-12.1501336748974,-77.0206283635467
322,30,1,30,-12.1503977436514,-77.0204325464424
323,0,0,0,-12.1417508623887,-77.0206267064256
324,30,1,30,-12.1417003125525,-77.019410057824
325,0,0,0,-12.1426665281229,-77.0185588790456
326,0,0,0,-12.1413077065555,-77.0221494422689
327,0,0,0,-12.1430633671575,-77.0183076486893
328,0,0,0,-12.1434247514708,-77.0184912167931
329,0,0,0,-12.1360081575367,-77.021560138526
330,0,0,0,-12.1356872529093,-77.020477243035
331,0,0,0,-12.1363382397763,-77.0197612192478
332,0,0,0,-12.1370157809477,-77.0195604038802
333,0,0,0,-12.1371444741882,-77.020367097344
334,0,0,0,-12.1370289392991,-77.020343576514
335,20,3,60,-12.1373636959763,-77.0208936514278
336,0,0,0,-12.1375850088129,-77.0215367445716
337,0,0,0,-12.1425827918687,-77.0189247653606
338,20,3,60,-12.1467113820949,-77.0202890877398
339,15,3,45,-12.1547413140632,-77.0208428800106
340,0,0,0,-12.1554843451272,-77.0213384181261
341,20,1,20,-12.155567595942,-77.0215016975999
342,35,2,70,-12.1556164320378,-77.0215898752213
343,0,0,0,-12.1420212968764,-77.0207074284554
344,0,0,0,-12.1422717174273,-77.0201522111893
345,0,0,0,-12.1419291918764,-77.0213126018643
346,0,0,0,-12.1419521361854,-77.0185391977429
347,15,2,30,-12.1414116332943,-77.0220304280519
348,30,1,30,-12.1483040526619,-77.0202727516943
349,0,0,0,-12.153082292393,-77.0224541600098
350,20,2,40,-12.1531525608202,-77.022290681134
351,0,0,0,-12.1531284358077,-77.0223480172698
352,0,0,0,-12.1553342971595,-77.0225116268187
353,15,1,15,-12.1548266040506,-77.0213441279511
354,20,2,40,-12.1551468482336,-77.0210831100481
355,0,0,0,-12.1550479112825,-77.0207780326014
356,15,1,15,-12.153691801062,-77.0211732225741
357,0,0,0,-12.1522493871366,-77.021677122579
358,5,2,10,-12.1183333882014,-77.0249169237604
359,10,3,30,-12.1182827466397,-77.0247832443135
360,10,3,30,-12.118327115647,-77.0247461623969
361,12,7,84,-12.1183037725028,-77.024741805555
362,20,7,140,-12.1181670354057,-77.0248215099537
363,100,7,700,-12.1180752399848,-77.0248208076341
364,200,7,1400,-12.1181355927603,-77.0248775676824
365,30,7,210,-12.1181272350339,-77.0249688720707
366,50,7,350,-12.1181047485625,-77.0250019230699
367,10,7,70,-12.1179627350455,-77.0249499037889
368,50,7,350,-12.1183826579911,-77.025101926831
369,20,7,140,-12.1184250185119,-77.0252891776766
370,50,7,350,-12.118641834548,-77.0254090236231
371,8,5,40,-12.1183546940275,-77.0255713263243
372,70,6,420,-12.1183308852279,-77.0250889659362
373,100,6,600,-12.1183093505653,-77.0250941528222
374,80,6,480,-12.1183770103347,-77.0250789992041
375,70,6,420,-12.1184299937318,-77.0251120494561
376,50,5,250,-12.1183939573039,-77.0250622168324
377,90,6,540,-12.1184339263193,-77.0250923159891
378,100,6,600,-12.1183974314182,-77.0249607850815
379,200,5,1000,-12.1183676222828,-77.0253408794091
380,310,5,1550,-12.1183914819365,-77.0254896637211
381,350,4,1400,-12.1183252987515,-77.0254934700303
382,40,6,240,-12.1184256563792,-77.02555321264
383,400,4,1600,-12.118669663889,-77.0255414516553
384,80,7,560,-12.1183240514753,-77.0250002424019
385,50,6,300,-12.1184134440887,-77.0248466664189
386,40,4,160,-12.1185482097868,-77.0246231368852
387,80,7,560,-12.1184634597422,-77.0244951750676
388,80,5,400,-12.1184000202782,-77.0239138239082
389,0,0,0,-12.1183582497756,-77.024075282023
390,0,0,0,-12.1184434451901,-77.0242770065085
391,0,0,0,-12.1184162308475,-77.0243697304189
392,0,0,0,-12.1183705791393,-77.0246832349838
393,30,10,300,-12.1189650663369,-77.0245614426374
394,60,1,60,-12.1190193256531,-77.0245348325791
395,0,0,0,-12.1188285923106,-77.0249428826915
396,50,1,50,-12.11890102768,-77.0253195807073
397,0,0,0,-12.1186456899212,-77.025340190562
398,0,0,0,-12.1185852054861,-77.0256518196775
399,5,1,5,-12.1184774748514,-77.0257077514404
400,8,1,8,-12.1184475908634,-77.0257243488855
401,0,0,0,-12.1183265956933,-77.0256207569187
402,0,0,0,-12.1183856511346,-77.0254265778961
403,0,0,0,-12.1184240280766,-77.0253256319515
404,5,1,5,-12.1184193019644,-77.025217409521
405,15,1,15,-12.118443992924,-77.0247727516611
406,0,0,0,-12.1179296053332,-77.0247483389851
407,20,1,20,-12.1175895330244,-77.0248627539598
408,0,0,0,-12.0168867,-76.9882046
409,0,0,0,-12.016351,-76.988793
410,0,0,0,-12.016514,-76.9879356
411,8,3,24,-12.0156054,-76.9885989
412,0,0,0,-12.0149871,-76.9866087
413,2,2,4,-12.0165022822964,-76.9878370481244
414,5,4,20,-12.0159568531427,-76.9886759664971
415,0,0,0,-12.0255394110243,-77.0013994811295
416,0,0,0,-12.0173596311473,-76.9873363897921
417,0,0,0,-12.0204647484751,-77.0013318981261
